"","sample_info$diet","sample_info$treatment","interaction","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000038683",0.882210341346796,0.41509396538263,0.20602966043522,0.985917905595317,0.0430724214014253,0.729975085084874,0.135638452159665,0.961291641359459,-0.0592468021823148,0.896317398808711,0.0925660307582403,0.841566658812512,-0.10231922358374,0.447200654147571,-0.19488525434198
"ENSMUSG00000021361",0.01601349534406,0.000911637159897388,0.938371590781853,0.0546349316417835,0.773786230405247,0.288122965227103,0.459206263136788,0.00106912583831975,1.75689151434859,0.770076795638545,-0.314579967268459,0.243721448438425,0.983105283943338,0.044146039969623,1.2976852512118
"ENSMUSG00000114247",0.215624772031004,0.0335709037882266,0.13027488223857,0.954045176365041,0.527362544311191,0.215021975127966,-1.14416041959693,0.882759337415934,0.822251917883973,0.0886479322418365,-1.67152296390812,0.996283101750393,0.294889373572782,0.0592831472356179,1.9664123374809
"ENSMUSG00000091264",0.00339256428288809,0.179693872464307,0.706572741908009,0.887233319362058,0.128661938584579,0.177243401656661,0.425445189556073,0.0165575109850027,0.748647305261012,0.495589002162404,0.296783250971494,0.0677729149073988,0.619985366676433,0.597936255384999,0.323202115704939
"ENSMUSG00000087370",0.125711910225054,0.0173631181233046,0.370296785812753,0.621227530255523,-0.365907177586005,0.960068684607766,-0.157952197544636,0.0368731168789905,-0.77556462355881,0.882209422457095,0.207954980041369,0.311680939795838,-0.409657445972805,0.0932344136763458,-0.617612426014174
"ENSMUSG00000058022",0.606331756363816,9.19856727877453e-06,0.236416388780675,0.0106921886877943,1.46939172305417,0.958327125027981,-0.12098288646408,0.000865686043878378,2.8047060164753,0.00388076521603464,-1.59037460951825,0.610811846568787,1.33531429342113,0.000324572550648883,2.92568890293938
"ENSMUSG00000021366",0.00562132682313995,5.57230331093879e-05,0.238566349136781,0.0402821322238408,-0.840142315703304,0.520422664986525,-0.454850255751775,8.24148661087154e-05,-1.39016043171905,0.417528515729043,0.38529205995153,0.0298646555520384,-0.550018116015742,0.00122950265461486,-0.935310175967272
"ENSMUSG00000021368",0.00294857050172412,0.948870994399454,0.880245574222984,0.999909798058166,0.0124015894080004,0.0840131090499736,0.63434195798113,0.11105473730489,0.587548293682462,0.0941124843632675,0.62194036857313,0.123948133970369,0.575146704274462,0.998634125736188,-0.0467936642986674
"ENSMUSG00000063200",0.590083602420042,0.587581100372058,0.0339256381857508,0.606563312734448,-0.199175281283658,0.604986453754622,-0.199569136238646,0.862326114143294,0.140011908469394,0.999999993056351,-0.000393854954987948,0.218704750888361,0.339187189753052,0.217790851049283,0.33958104470804
"ENSMUSG00000021371",0.00010009097941088,2.23970912047991e-09,0.000358484155188712,0.000417460877128351,0.803939811041172,2.24537378632483e-05,-0.636745414669424,0.00100345825392789,0.715843776024339,1.06476057970539e-08,-1.4406852257106,0.970008340611665,-0.0880960350168331,1.82393280478976e-08,1.35258919069376
"ENSMUSG00000015396",0.231032981449136,0.908238435287634,0.979100433217302,0.999607569117499,-0.0730447934076108,0.805386092455964,-0.545541644424461,0.77171720682517,-0.577508779728079,0.854495037155248,-0.47249685101685,0.824250646114604,-0.504463986320468,0.999901752226426,-0.0319671353036179
"ENSMUSG00000038518",0.0178596691066696,0.0464808331387968,0.589572388258595,0.260810934388794,-0.341164095874667,0.150649941327369,-0.394167167888102,0.0175765840301929,-0.558278281047055,0.985930460100073,-0.0530030720134343,0.47320314126306,-0.217114185172388,0.673165413257553,-0.164111113158954
"ENSMUSG00000057531",0.105449903471481,0.148312172308632,0.937485256875992,0.741727111208648,0.202485264965072,0.661063485675435,0.232582109875315,0.142634588672206,0.502947039850099,0.998990256715006,0.0300968449102437,0.593995221349425,0.300461774885028,0.676847957568686,0.270364929974784
"ENSMUSG00000038175",0.869711236511556,0.131560230527826,0.447966868836393,0.938503948329812,-0.298040502937863,0.972053454137966,0.273824126162359,0.610757922034085,-0.581719063076561,0.748274073919484,0.571864629100223,0.907612303324891,-0.283678560138698,0.36852087157024,-0.85554318923892
"ENSMUSG00000046876",0.200115410792695,0.188914249840959,0.156201547238241,0.999794843357686,-0.0343348304302629,0.229877352687709,-0.667118793183618,0.99999387158713,0.0108119420191438,0.260737412669809,-0.632783962753355,0.999539769347436,0.0451467724494068,0.220892402196541,0.677930735202762
"ENSMUSG00000069237",0.15817017536688,0.0343326710935183,0.486109655112944,0.182779066960259,0.407973417212542,0.432290205399272,0.283720999238749,0.0700909983650099,0.532790063189939,0.933978044202864,-0.124252417973793,0.947183160837368,0.124816645977397,0.676098034561978,0.24906906395119
"ENSMUSG00000021374",0.0209633053438897,8.43712813966176e-06,0.0300335107740309,0.0503128398533553,-0.75427944597126,0.99923996689988,-0.0432978172445974,5.1726948664732e-05,-1.33712770219126,0.0640137230552261,0.710981628726663,0.0143148827885236,-0.582848256219997,6.52610920330865e-05,-1.29382988494666
"ENSMUSG00000044231",0.821664746548264,0.039022163674963,0.11417516547984,0.976271184588661,-0.196274955861168,0.740686579132237,0.653119440224373,0.331131161360951,-0.70093717047681,0.501250775959301,0.849394396085541,0.550213439940955,-0.504662214615642,0.0593407615647522,-1.35405661070118
"ENSMUSG00000021376",0.193907355843893,0.000762161630398611,0.0523263048604634,0.489352469181155,0.459067824059718,0.952222463466142,-0.135495457537307,0.00641651841403679,1.89907708534517,0.239170731682153,-0.594563281597025,0.108985460270788,1.44000926128545,0.00221396084065806,2.03457254288248
"ENSMUSG00000038068",0.24666791059275,0.690076260946037,0.0977899620125201,0.44345236841985,0.638494899434494,0.197123336283597,0.96918485894111,0.672674712718861,0.445695123789823,0.941539464374313,0.330689959506616,0.978680947454745,-0.192799775644671,0.775467180511776,-0.523489735151287
"ENSMUSG00000050954",0.136785377827644,0.287034040597493,0.800610714662527,0.773251292699473,0.292789516103997,0.582367890593897,0.40849093951128,0.272298813471314,0.645680237481135,0.987252914428843,0.115701423407283,0.791454224682283,0.352890721377138,0.93144163194488,0.237189297969855
"ENSMUSG00000097375",0.0948371238297253,0.280716526048099,0.952505854441986,0.838426018797643,0.388496412147596,0.628029323221632,-0.426529539428632,0.965426612197213,-0.179119672257038,0.213176069616146,-0.815025951576228,0.577042107484278,-0.567616084404633,0.876740415618715,0.247409867171594
"ENSMUSG00000038042",0.00512958093228821,0.00395887235139249,0.342853257562677,0.362208864667778,-0.779345697278993,0.406381576865095,-0.747962012558841,0.00132065165853312,-1.57672727597329,0.99975376853965,0.0313836847201523,0.0395722150528017,-0.797381578694297,0.0333900862824578,-0.828765263414449
"ENSMUSG00000038014",0.623102758799805,0.143420327370293,0.182922079746857,0.999584087753913,-0.0203106009369856,0.920845647348635,0.130072244183287,0.492777034381916,-0.259867668464762,0.882141000559842,0.150382845120272,0.553042072263971,-0.239557067527777,0.203994394298277,-0.389939912648049
"ENSMUSG00000037966",0.000639241848655432,0.00235732987860081,0.0439411657857501,0.00419698180371242,0.796514965629456,0.00172404883510469,0.915019969274789,0.000236544691740836,1.23011963232974,0.970879372958616,0.118505003645333,0.492085666174233,0.433604666700286,0.748761979531295,0.315099663054953
"ENSMUSG00000021384",0.0104873311776843,0.0374090550528855,0.197930897502655,0.912235666554853,-0.742092170238557,0.695021883189344,-1.0899926180384,0.0103561625095488,-2.24850329645092,0.969795940818508,-0.347900447799844,0.0382990884661125,-1.50641112621237,0.0887753582051058,-1.15851067841252
"ENSMUSG00000021385",0.827170141000443,0.00108520615292921,0.0244466588330636,0.720543922015724,-0.185011184269356,0.406457682584546,0.335402578747118,0.0406370962944701,-0.46985153102039,0.0738492640119519,0.520413763016474,0.26149052286234,-0.284840346751034,0.00161767204256935,-0.805254109767508
"ENSMUSG00000021392",0.0608887173710128,0.91448188747521,0.123803310987333,0.711079768956375,-0.426186260970757,0.0856403589389937,-0.868427463262443,0.547287106961965,-0.51854589535224,0.458716594776469,-0.442241202291686,0.992283462025756,-0.0923596343814833,0.620188924559326,0.349881567910202
"ENSMUSG00000037851",0.724418268604644,7.0863024469554e-05,0.0790171259152312,0.111951747808443,-0.577518498832348,0.416619192494477,0.557813034936402,0.0141764460551262,-0.77397685068937,0.00505805560120265,1.13533153376875,0.710346395040508,-0.196458351857022,0.000582963560634919,-1.33178988562577
"ENSMUSG00000037816",0.0221778814569397,0.017512617037703,0.069731471643533,0.958235016474082,-0.422546730526373,0.974888718829491,-0.360780598125104,0.0101549222361221,-1.80762452689597,0.999791234247271,0.0617661324012689,0.0276355117901301,-1.3850777963696,0.0234714322249228,-1.44684392877087
"ENSMUSG00000021395",0.237310390958219,0.0892285092766016,0.951683135971749,0.614213430575924,0.257062681364032,0.84202698183001,0.166339340646344,0.180519757086005,0.481172201579378,0.975740307567312,-0.0907233407176871,0.79899289745234,0.224109520215347,0.562417460007664,0.314832860933034
