,X1,X2,X3,X4,Y1,Y2,Y3,Y4
ENSMUSG00000044708,2783.193023,2126.917493,2423.753337,1988.853826,3246.677715,2579.478325,2706.047342,2596.095861
ENSMUSG00000050229,201.1946764,226.9177465,202.0735199,118.200615,176.7103185,204.4940413,205.8949065,217.9724078
ENSMUSG00000026548,8.047787054,13.96416901,10.16012111,19.52879726,25.95744791,23.77837689,14.70677903,24.02144902
ENSMUSG00000037995,95.23214681,102.1129859,134.3393792,93.53266055,64.89361977,98.91804786,113.5690159,95.19611278
ENSMUSG00000026547,111.3277209,102.9857465,168.2064496,199.3992983,182.7004987,142.6702613,116.0201457,145.0183774
ENSMUSG00000026546,77.79527486,65.45704225,77.89426187,72.97603186,93.84615783,71.33513067,73.53389517,56.93973101
ENSMUSG00000085184,6.706489212,11.34588732,6.773414076,7.194820043,12.97872395,19.02270151,10.62156264,10.67619956
ENSMUSG00000049598,14.75427627,12.21864789,13.54682815,21.58446013,11.98036057,9.511350756,11.43860592,13.34524945
ENSMUSG00000026544,95.23214681,107.3495493,127.5659651,198.3714669,109.8199719,109.3805337,125.0076218,113.879462
ENSMUSG00000037872,516.3996693,644.9700563,620.8962903,1165.560847,842.6186937,707.6444963,589.0882047,733.0990367
ENSMUSG00000005338,7717.827785,7758.841408,7936.183492,8540.251391,8077.758117,7666.148709,8246.417822,7458.215078
ENSMUSG00000037860,56.33450938,65.45704225,55.31621495,54.47506604,33.94435496,97.96691279,48.2055535,53.38099782
ENSMUSG00000090272,26.82595685,16.5824507,14.6757305,41.11325739,13.97708734,23.77837689,13.07269248,22.24208242
ENSMUSG00000039997,26.82595685,22.69177465,13.54682815,17.47313439,28.95253805,21.87610674,16.34086559,12.45556616
ENSMUSG00000028354,1221.922334,1075.241014,955.0513847,687.6192298,969.4108431,1065.271285,1185.529799,999.1143425
ENSMUSG00000050069,409.0958419,375.2870422,348.8308249,283.681476,447.2667947,336.7018168,315.378706,380.7844511
