"","Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000026204",0.0974344425776414,0.52384679147554,-1.06576706439266,0.396859691996261,-1.22475325814666,0.215634806985473,-2.58131984464534,0.999582422329485,-0.158986193753995,0.361370970562578,-1.51555278025268,0.419163809466243,-1.35656658649868
"ENSMUSG00000094638",0.204071338910396,0.999758660286015,0.23505426397702,0.337179186244055,-1.99868800388231,0.970294623977515,0.604415755069862,0.298196604933172,-2.23374226785933,0.973268029640181,0.369361491092843,0.25339780253976,2.60310375895217
"ENSMUSG00000090124",0.00281660579916591,0.277154053210662,-2.31594418578591,0.212646006222805,-1.5424248048052,0.00504688261644382,-2.78543802365398,0.808292381214816,0.773519380980709,0.874258018821161,-0.469493837868067,0.0430525823541201,-1.24301321884878
"ENSMUSG00000073616",0.00307290850570481,0.294345062118348,0.547809751011397,0.441110618261191,-0.769921536626876,0.0131657949517221,1.19310716541857,0.187454284783608,-1.31773128763827,0.353467676238192,0.645297414407175,0.106646072091775,1.96302870204545
"ENSMUSG00000099471",0.0976131476778446,0.967732623932086,0.490898890072811,0.414960200447755,-1.27512680165377,0.60024774660415,1.06116588529626,0.250878390975248,-1.76602569172658,0.883354544438554,0.57026699522345,0.18189589731611,2.33629268695003
"ENSMUSG00000045382",0.0217384559092708,0.697240271124813,-0.628987051940263,0.0548505838559323,-1.24136481421025,0.101157632843007,-1.91226361564135,0.459202591395399,-0.612377762269985,0.222828219517815,-1.28327656370109,0.576245403659336,-0.670898801431103
"ENSMUSG00000052688",0.0303779283252622,0.269129870393002,-1.26230384579081,0.4338099073439,-1.73020952633171,0.120370373677271,-3.65911261950758,0.970234305532594,-0.467905680540903,0.176325366655072,-2.39680877371677,0.219182559290768,-1.92890309317587
"ENSMUSG00000041605",0.0173450095843356,0.0884703598390342,-5.20917216998612,0.887528734305905,-2.08540475971608,0.118208578690337,-6.4284174246183,0.109652938471628,3.12376741027004,0.472263718596363,-1.21924525463219,0.13527341636299,-4.34301266490222
"ENSMUSG00000026708",0.687857013283554,0.949595399504443,-0.37616817789533,0.963780963596177,0.176463525416232,0.983008313037914,0.161900129241687,0.811003766462314,0.552631703311562,0.832696345245248,0.538068307137017,0.99999994779947,-0.0145633961745453
"ENSMUSG00000026585",0.0181748382431169,0.0546631172514515,-0.494426328127742,0.140840658612429,-1.19063681775694,0.175377030067444,-0.600791836736736,0.360230215315366,-0.6962104896292,0.992047860653754,-0.106365508608994,0.484884479518581,0.589844981020206
