,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
ENSMUSG00000039910,404.1700991,394.1807076,276.0356311,433.9210166,276.0308481,291.4804387,301.6314063,843.8026076,251.1665183,331.459196,403.8473526,216.1852847,908.5168555,236.0389443,251.2470182,994.3003104,450.7459353,541.1407232,254.4988761,787.7269067
ENSMUSG00000039891,26.74655067,8.687178128,24.39384647,27.21455853,0,2.907535548,9.690968878,6.602524316,14.10057647,682.6742382,1.718499373,19.50543922,6038.383561,34.08048929,39.08286949,5.957461416,2.731793547,0.792299741,2.721913113,5.428439633
ENSMUSG00000039879,629.0392473,579.86914,509.7030025,721.1858011,357.2163917,484.1046687,434.8822284,546.6890134,475.0131697,257.9235466,460.5578319,445.3741956,476.9095733,513.7318201,487.977542,330.0433625,327.8152257,359.7040825,202.7825269,503.035406
ENSMUSG00000078453,280.3434756,344.2294333,311.9844575,290.2886243,212.4355057,264.5857348,225.3150264,279.947031,181.544922,181.0952561,302.4558896,308.836121,243.8086938,249.9235881,339.4626379,294.8943401,273.1793547,228.9746252,272.1913113,457.798409
ENSMUSG00000019854,303.1275743,243.2409876,233.6673714,266.0979056,312.5643427,379.433389,1027.242701,293.1520796,475.0131697,668.4061271,319.6408833,219.4361913,383.8339571,241.0879057,384.1287744,319.3199319,486.2592514,560.9482167,449.1156637,390.2444936
ENSMUSG00000059554,142.6482703,173.7435626,304.2811375,193.5257496,163.7241795,160.641339,158.6896154,199.3962344,172.7320617,100.9743246,171.8499373,214.5598315,99.66504036,185.5493306,185.3644667,58.97886802,64.65244728,190.1519379,115.6813073,44.63383698
ENSMUSG00000039835,276.3810236,230.2102204,89.87206594,315.9912629,190.7860274,230.4221921,228.9491397,101.6788745,236.1846558,205.2412903,151.2279448,136.5380746,135.0831952,117.388352,129.531796,211.4898803,343.2953891,148.9523513,300.0909207,142.3457504
ENSMUSG00000019853,18.82164677,23.88973985,29.52939309,24.19071869,17.59020111,100.3099764,54.51169994,26.41009726,31.72629705,18.65829911,18.9034931,14.62907942,33.7707988,16.40912447,23.4497217,29.78730708,43.25339783,11.88449612,55.79921882,34.38011768
ENSMUSG00000019852,0,1.085897266,6.419433281,4.535759755,12.17783153,28.34847159,14.53645332,7.923029179,0.881286029,1.097547007,24.05899122,11.37817288,3.294712078,6.311201721,13.39984097,4.170222992,8.650679566,5.546098188,0.680478278,10.25371931
ENSMUSG00000019851,2658.80526,2878.713652,2829.68619,2196.819641,2432.860122,2285.32294,1720.146976,3266.929032,2225.247224,1121.693041,2490.105591,4650.421802,2078.963321,4178.015539,1917.293912,3004.943538,1431.915118,1916.573074,1529.71517,1435.520703
ENSMUSG00000019850,75.28658708,73.84101409,57.77489953,169.3350309,37.886587,151.1918485,197.4534909,192.79371,100.4666073,59.26753836,42.96248432,27.63270557,33.7707988,35.34272963,48.01609681,259.1495716,254.0567999,2038.587234,141.5394819,691.8244732
ENSMUSG00000020009,408.132551,415.8986529,428.8181432,399.1468584,313.9174351,981.2932473,734.0908925,961.3275404,458.2687352,837.4283661,357.4478695,412.8651302,452.1992327,310.5111247,265.7635126,674.9803785,794.9519222,625.9167955,826.1006299,1290.762313
ENSMUSG00000020003,1555.262391,1764.583057,1719.124233,937.3903494,1078.414637,726.8838869,736.5136347,2218.44817,1017.885364,502.6765291,969.2336462,2231.747338,607.0507004,1728.007031,696.7917304,366.9796233,233.1130494,819.2379323,494.7077083,155.0121095
ENSMUSG00000071369,564.6494031,411.5550638,188.7313385,1247.333933,470.8761527,452.1217777,724.3999236,944.1609772,948.2637674,1606.808818,472.5873275,416.1160368,449.7281987,526.3542235,509.1939568,479.575644,495.8205288,1328.686666,619.2352333,294.3420601
ENSMUSG00000019996,708.2882864,578.7832428,356.9204904,765.0314787,545.2962343,441.9454032,518.466835,202.0372441,725.298402,389.6291874,513.8313125,557.5304712,341.8263781,531.4031849,463.4111668,414.0435684,272.2687569,1020.482067,772.3428459,219.5502252
ENSMUSG00000037608,404.1700991,494.083256,581.6006553,724.2096409,710.3735062,888.2521098,1096.290854,686.6625289,1252.307447,1038.279468,1290.593029,1303.613521,915.9299577,1088.051177,937.9888678,887.0660049,1299.87843,1371.470852,1243.233814,1164.098721
ENSMUSG00000019992,0.990612988,1.085897266,8.987206594,10.58343943,1.353092393,33.4366588,6.056855549,25.0895924,5.287716175,2.195094013,3.436998746,13.00362615,4.118390098,11.3601631,5.58326707,29.78730708,17.30135913,0.792299741,23.81673974,43.42751706
ENSMUSG00000019990,51.51187537,57.5525551,95.00761256,43.84567763,52.77060332,93.04113752,49.6662155,95.07635015,64.33388013,79.02338448,58.42897867,27.63270557,146.6146875,35.34272963,61.41593777,85.19169826,94.7021763,23.76899223,54.43826227,138.1236307
ENSMUSG00000092051,9.906129879,9.773075394,10.27109325,4.535759755,9.471646749,5.815071095,8.479597768,27.73060213,8.812860292,6.58528204,15.46649435,1.625453269,5.765746137,5.048961376,8.933227313,5.957461416,6.374184944,7.13069767,6.124304505,7.84107947
ENSMUSG00000019986,27.73716366,33.66281525,23.10995981,69.54831624,21.64947828,34.16354268,39.97524662,38.29464103,21.1508647,47.19452129,68.73997491,43.88723825,47.77332513,30.29376826,50.24940363,48.25543747,40.97690321,34.86118861,25.1776963,64.53811564
ENSMUSG00000019977,1479.975804,1222.720321,970.6183121,1520.991438,718.4920606,1017.637442,1202.891512,1181.851853,1330.741904,1062.425502,421.0323463,565.6577375,882.1591589,532.6654252,685.6251962,608.8525568,616.0194449,923.0291984,704.9754963,565.7640417
ENSMUSG00000037542,5973.396317,5788.918325,5528.415942,3509.166131,5858.890061,2598.609896,1609.912205,2864.175048,4511.303183,979.01193,4342.647915,4546.392792,2443.029006,4980.800398,3687.189573,89.95766739,44.6192946,2656.581032,1015.273591,88.664514
ENSMUSG00000019970,374.4517094,363.7755841,353.0688305,830.0440352,484.4070766,2142.853699,4192.555411,882.0972487,1268.170596,962.5487249,307.6113877,430.7451162,309.7029353,403.9169101,353.9791323,1211.151906,1942.760511,306.6199998,797.5205422,2544.128708
ENSMUSG00000097327,31.69961561,32.57691798,42.36825966,37.79799796,104.1881142,20.35274883,33.91839107,66.02524316,25.55729485,32.9264102,34.36998746,47.13814479,20.59195049,45.44065239,31.26629559,44.08521448,32.78152257,49.12258395,21.09482663,14.47583902
ENSMUSG00000053219,93.11762087,94.47306214,66.76210612,31.75031829,128.5437773,120.6627252,89.64146212,44.89716535,54.63973381,19.75584612,27.49598996,40.63633172,16.47356039,45.44065239,30.14964218,74.46826771,41.88750106,53.08408266,63.96495816,19.30111869
ENSMUSG00000097705,1.981225976,5.42948633,5.135546625,0,4.059277178,2.180651661,4.845484439,3.96151459,0,18.65829911,36.08848683,1.625453269,19.76827247,10.09792275,15.6331478,9.531938266,11.38247311,2.376899223,7.485261062,12.66635914
