"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8"
"ENSMUSG00000000605",677.5879063,682.5513901,606.6254082,528.8417458,624.26645,627.6917226,691.2248569,573.6934654
"ENSMUSG00000000628",459.4602926,426.7742376,392.9460098,825.7214684,578.7900861,551.6975989,411.4841042,616.1144611
"ENSMUSG00000000631",4022.598067,4635.601652,4037.500244,4891.786149,3689.786799,3900.373723,4176.435336,4694.590189
"ENSMUSG00000000673",61.49342301,21.55425443,51.21903183,80.75128454,74.41586821,6.908556695,48.76214956,47.47111421
"ENSMUSG00000000682",236.6916659,239.9706993,261.6972408,330.1302515,249.0864478,102.6414138,195.0485982,269.6763297
"ENSMUSG00000000686",30.16658487,47.41935974,19.20713694,34.83388745,26.87239685,24.67341677,29.08619448,22.22052155
"ENSMUSG00000000690",711.235251,225.6011963,841.9128357,210.5866832,469.2333912,750.0718697,572.3136501,365.6285818
"ENSMUSG00000000693",38.28835772,43.10850885,37.6139765,30.08381189,19.63752078,27.63422678,31.6526234,32.32075861
"ENSMUSG00000000708",413.0501621,441.1437406,481.7790182,380.0060449,391.7168618,465.8341086,378.9760045,448.4505258
"ENSMUSG00000000711",886.4334939,1107.888677,1032.38361,832.8465818,719.3533927,952.3938872,923.0589364,1018.103896
"ENSMUSG00000000724",17.40379896,15.80645325,9.603568468,22.16701929,16.5368596,26.64729011,17.96500247,18.18042672
"ENSMUSG00000000732",211.1660941,235.6598484,202.4752352,267.58759,225.3147121,112.5107805,220.7128875,234.3255
"ENSMUSG00000000738",512.8319428,445.4545915,516.1918052,577.1341807,536.4143833,492.4813987,487.6214956,502.9918059
"ENSMUSG00000000740",1984.033082,1561.964971,2375.282601,2439.95548,2552.877701,2777.239791,1941.075743,1999.846939
"ENSMUSG00000000743",1004.779327,952.6980456,1071.598182,1065.600284,865.0844679,906.9948004,933.3246521,1020.123944
"ENSMUSG00000000751",283.1017965,201.1730413,209.6779116,304.0048359,245.9857866,207.2567008,208.7362192,184.8343383
"ENSMUSG00000000753",24.36531855,20.11730413,13.60505533,18.20862299,24.8052894,18.75179674,18.82047878,32.32075861
"ENSMUSG00000000759",491.947384,327.6246673,444.1650417,398.2146679,429.9583497,394.7746683,429.4491067,370.6787004
"ENSMUSG00000000776",52.21139689,73.28446505,47.21754497,64.91769934,63.04677723,85.86349035,50.47310218,37.37087715
"ENSMUSG00000000782",58.01266321,130.7624768,140.0520402,144.8773046,107.4895874,66.12475694,105.2235859,123.2228922
"ENSMUSG00000000787",2607.089085,2728.76861,2154.400526,2194.534909,2678.971256,2741.710071,3025.819702,2573.540405
"ENSMUSG00000000791",3.480759793,25.86510531,12.80475796,33.25052893,13.43619843,12.83017672,8.554763081,20.20047413
