"","KW_Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000025933",0.177749743981916,1,0.232244388803411,1,0.0143175687892288,0.585092953900933,0.622037278194652,0.8937667468433,-0.217926820014183,1,0.389792889391241,0.466468454692816,0.607719709405424
"ENSMUSG00000025934",0.0347491021797068,1,0.372949798679972,0.585092953900933,1.10325526413967,0.0233790026157443,1.98155644048838,1,0.730305465459701,0.466468454692816,1.60860664180841,1,0.878301176348708
"ENSMUSG00000028033",0.689949813433542,1,-1.18489384430913,1,-3.58354412658373,1,-0.849693363730898,1,-2.3986502822746,1,0.335200480578236,1,2.73385076285283
"ENSMUSG00000041670",0.0497422373529082,1,-0.210709885072694,0.2777177240924,-2.29675092903244,1,1.2489137791481,0.569966484611365,-2.08604104395974,1,1.45962366422079,0.0424954209398435,3.54566470818053
"ENSMUSG00000026155",0.300246186191203,1,0.425493480518746,1,-0.599098838546487,1,0.334778253749006,0.523071818441571,-1.02459231906523,1,-0.0907152267697396,1,0.933877092295493
"ENSMUSG00000100131",0.00113092940641706,1,1.1275428886562,1,-0.669394285258028,0.0384566636927224,2.16768959303684,0.129218275666543,-1.79693717391422,0.806885880862891,1.04014670438064,0.000885469364358078,2.83708387829487
"ENSMUSG00000067736",0.00189647150643638,0.0719772847482238,2.53158963642954,1,-0.306556917284562,0.195056667874317,2.13901055883139,0.00804384670337687,-2.8381465537141,1,-0.392579077598143,0.0276707006946457,2.44556747611596
"ENSMUSG00000101939",0.0025341478052862,0.414956951645842,1.71065050181794,1,-1.03521062062271,0.0719772847482237,3.28752842548091,0.0528879294252797,-2.74586112244065,1,1.57687792366297,0.00551751290674227,4.32273904610362
"ENSMUSG00000101111",0.00225207163004446,0.466468454692816,1.50095816318881,1,-0.930239852787816,0.112067095784955,2.15815924719768,0.0326638908312148,-2.43119801597663,1,0.65720108400887,0.00455131944063285,3.0883990999855
"ENSMUSG00000102070",0.00418979564660703,0.523071818441571,1.23953974578776,1,-0.560547213337765,0.0969415875670879,1.99887912866381,0.0719772847482236,-1.80008695912553,1,0.75933938287605,0.00804384670337686,2.55942634200158
