"","Pval","log2FoldChange_GroupY_vs_GroupX"
"ENSMUSG00000070565",0.341178322993708,-0.17074254533686
"ENSMUSG00000049881",0.876808501580095,-0.0212652910349858
"ENSMUSG00000033488",0.453851835595617,0.173496671428393
"ENSMUSG00000026589",0.766564598866019,0.112187960956599
"ENSMUSG00000040265",0.144641073012453,-0.133442297272666
"ENSMUSG00000041396",0.690233472832527,0.0916796698382011
"ENSMUSG00000026575",0.232237090035947,0.169602931080364
"ENSMUSG00000026687",0.340619053479382,0.0911019341938326
"ENSMUSG00000096964",0.288316645222066,0.671038970626375
"ENSMUSG00000013997",0.39904576555233,0.0667114416541507
"ENSMUSG00000006412",0.427696869134079,0.096365092983429
"ENSMUSG00000038235",0.635143125271084,0.095998370146739
"ENSMUSG00000059058",0.905278772178036,-0.030685470060962
"ENSMUSG00000003458",0.612079971674755,0.032828692862241
"ENSMUSG00000038034",0.152724526778909,0.216068872502039
"ENSMUSG00000104157",0.480955343423643,-0.307577315668926
"ENSMUSG00000091476",0.594182413796993,-0.153121680617236
"ENSMUSG00000026491",0.724844500728595,-0.0846738956390401
"ENSMUSG00000058729",0.524002082566678,-0.220753517203498
"ENSMUSG00000030768",0.358778814592948,-0.0973065482543237
"ENSMUSG00000104212",0.12378874166192,0.635509639395502
"ENSMUSG00000039377",0.250452583447276,0.766097555538616
"ENSMUSG00000103964",0.39820375415302,0.366084198196206
"ENSMUSG00000066595",0.210947282842249,-0.24082161169172
"ENSMUSG00000037434",0.100042176375483,-0.190855946902006
"ENSMUSG00000103653",0.699291001407758,0.240728694890384
"ENSMUSG00000037395",0.300102753928522,-0.155632366257227
"ENSMUSG00000016200",0.815976576732348,-0.0636029558482077
"ENSMUSG00000016181",0.0914926846469636,0.213176426592961
"ENSMUSG00000026639",0.340739788089517,0.267092848779944
"ENSMUSG00000025780",0.807763267488381,-0.04009423998195
"ENSMUSG00000026718",0.169298185703833,-0.310277584944002
"ENSMUSG00000026712",0.838057186602913,-0.0483679312964033
"ENSMUSG00000057914",0.654904661611942,-0.0817291208572811
"ENSMUSG00000053702",0.18089681024773,-0.297590098146415
"ENSMUSG00000054057",0.442844410123691,0.178919922219086
"ENSMUSG00000081648",0.600016901587718,0.310490983197104
"ENSMUSG00000026986",0.322107505048583,-0.116812486897006
"ENSMUSG00000013465",0.140980239056384,0.231107269141964
"ENSMUSG00000047617",0.332992781935128,0.227001428749356
"ENSMUSG00000036504",0.367192719543862,0.210035795819351
"ENSMUSG00000026940",0.768008886598553,0.0928514777215788
"ENSMUSG00000026939",0.494405310891675,0.15186144719492
"ENSMUSG00000026933",0.327714606056827,-0.102115302846295
"ENSMUSG00000075467",0.293970007450413,0.196218471981388
"ENSMUSG00000085929",0.319802310908382,-0.51502505727855
"ENSMUSG00000065485",0.933162490903412,0.0504328576053576
"ENSMUSG00000019715",0.391485447209323,0.0736798747575199
"ENSMUSG00000075419",0.416184604730383,-0.0596430759500401
"ENSMUSG00000001864",0.0182557835888435,0.25969482270996
"ENSMUSG00000039195",0.311335710160872,0.186381298877887
"ENSMUSG00000026895",0.225164336148939,0.224744229910917
"ENSMUSG00000026889",0.183375872294354,-0.192436360800118
"ENSMUSG00000035403",0.926091263366677,-0.0245277456244144
"ENSMUSG00000062997",0.529694286006244,0.166059300783749
"ENSMUSG00000049252",0.178124444935319,-0.259766959529976
"ENSMUSG00000026872",0.0662122690618942,-0.248479770647924
"ENSMUSG00000026761",0.496901965817903,-0.159378179913465
"ENSMUSG00000036792",0.878194116655876,-0.0206776219682408
"ENSMUSG00000036093",0.31077499158075,-0.202317844466837
"ENSMUSG00000082132",0.664191109351475,-0.256134111840703
"ENSMUSG00000026960",0.427534282803903,-0.190521369024406
"ENSMUSG00000026826",0.133229883004289,-0.276390762860901
"ENSMUSG00000026977",0.218602801901642,-0.299519156163344
"ENSMUSG00000034810",0.596082824095802,-0.201230265004169
"ENSMUSG00000027035",0.250907976804747,-0.212552524284303
"ENSMUSG00000027086",0.981002807409469,-0.00241740149168667
"ENSMUSG00000042155",0.6849436047879,-0.0559510553350555
"ENSMUSG00000027015",0.26801544129961,-0.523068524211123
"ENSMUSG00000027010",0.133047187799694,-0.0865357887619579
"ENSMUSG00000027104",0.260140764500646,-0.223443320591185
"ENSMUSG00000042359",0.492846282431627,-0.0997461699822505
"ENSMUSG00000059173",0.257851726426819,-0.162847415992385
"ENSMUSG00000027074",0.322615111030987,-0.679598249298842
"ENSMUSG00000040794",0.352252468222552,0.240187116100995
"ENSMUSG00000027257",0.277902701131491,0.294498658830651
"ENSMUSG00000027239",0.386568302373845,0.321951540890093
"ENSMUSG00000027221",0.226287366984277,0.0541771501587973
"ENSMUSG00000027193",0.670140545508406,-0.0859065140223444
"ENSMUSG00000027189",0.272772340655661,-0.235131355897566
"ENSMUSG00000027187",0.0157275095942238,-0.19393667574279
"ENSMUSG00000074968",0.28218968155136,-0.306693190278596
"ENSMUSG00000086308",0.890623010226346,-0.0371197833546211
"ENSMUSG00000068580",0.221451382815521,0.289305740613252
"ENSMUSG00000085438",0.138635793464294,-0.271380041017508
"ENSMUSG00000090100",0.38084319733179,-0.191587934593238
"ENSMUSG00000074890",0.785619181798565,0.066759035277488
"ENSMUSG00000060227",0.185156339800103,-0.228219407223143
"ENSMUSG00000081219",0.152622754935453,0.870724101674073
"ENSMUSG00000027203",0.40274622698149,0.102153153286266
"ENSMUSG00000027365",0.260267244388896,-0.181118558158391
"ENSMUSG00000027366",0.220605800379974,-0.256012504360654
"ENSMUSG00000034906",0.98224996718135,0.00970063667224942
"ENSMUSG00000027367",0.600551502074672,-0.0216676506392807
"ENSMUSG00000027395",0.659407200364832,0.0569130998499742
"ENSMUSG00000027401",0.619239110131044,0.135821955298107
"ENSMUSG00000068267",0.453836260741997,0.153318004455493
"ENSMUSG00000068264",0.878528448081393,0.0189040725226063
"ENSMUSG00000051177",0.120509776514281,-0.281795759941783
"ENSMUSG00000027274",0.567335062612844,-0.0338085189551945
"ENSMUSG00000062098",0.499686656317668,-0.0996448491172954
"ENSMUSG00000051379",0.601300057234022,-0.0807097485104154
"ENSMUSG00000027428",0.489831110367493,-0.127534237162856
"ENSMUSG00000044364",0.284235336404181,0.322232991059711
"ENSMUSG00000074698",0.199183106949135,-0.138235927438577
"ENSMUSG00000027475",0.929854496207595,-0.0153027824752609
"ENSMUSG00000073236",0.29717328290173,-0.243820359147218
"ENSMUSG00000038467",0.147475446299614,0.19314281328073
"ENSMUSG00000027598",0.487492248556364,-0.151146819163106
"ENSMUSG00000027602",0.419572128774124,0.163125032826772
"ENSMUSG00000027605",0.3362188640756,-0.0975445623505714
"ENSMUSG00000038312",0.377090711667332,0.161774441509336
"ENSMUSG00000067847",0.301814214553611,0.365411178564605
"ENSMUSG00000046229",0.309681619866181,0.27061374678541
"ENSMUSG00000038085",0.451672486517095,0.172634308717061
"ENSMUSG00000063019",0.393636879115084,0.121564740139844
"ENSMUSG00000074607",0.985458802536052,0.00205208969432237
"ENSMUSG00000017707",0.273301304675868,-0.181767397958076
"ENSMUSG00000018209",0.664125816711185,-0.105480595770719
"ENSMUSG00000017007",0.371166938054823,0.436469822900933
"ENSMUSG00000017721",0.341585277833621,0.125421347151226
"ENSMUSG00000017299",0.0424349695732128,0.274852671114718
"ENSMUSG00000045822",0.13800091267121,0.279753297263985
"ENSMUSG00000017760",0.485878271497064,0.109520660254722
"ENSMUSG00000038400",0.71036098883419,0.0385379622732909
"ENSMUSG00000016253",0.477315700966857,0.0858544765083495
"ENSMUSG00000078866",0.514018971875582,0.122840995164275
"ENSMUSG00000095362",0.237106086946004,-0.39390722026365
"ENSMUSG00000027566",0.226090502869198,0.193273226554743
