"","Pval","log2FoldChange_GroupX_vs_GroupY"
"ENSMUSG00000037461",0.685714285714286,-0.0171278806777361
"ENSMUSG00000037375",0.342857142857143,-0.0856387271421162
"ENSMUSG00000104077",0.485714285714286,1.00914845845352
"ENSMUSG00000104284",0.342857142857143,0.0716896479920555
"ENSMUSG00000086921",0.342857142857143,-0.318419642714439
"ENSMUSG00000025817",0.485714285714286,0.0515635084193721
"ENSMUSG00000037254",0.342857142857143,-0.247074843876577
"ENSMUSG00000047909",1,0.151739350869554
"ENSMUSG00000026728",0.685714285714286,0.259225468394282
"ENSMUSG00000023094",1,0.0765439965251497
"ENSMUSG00000026679",0.685714285714286,0.133473974258319
"ENSMUSG00000036752",0.2,0.160317266705641
"ENSMUSG00000006471",0.114285714285714,0.180548101465458
"ENSMUSG00000085830",0.2,0.138915066432238
"ENSMUSG00000029419",0.885714285714286,0.0614824637299744
"ENSMUSG00000087595",0.2,-0.653727476366385
"ENSMUSG00000086779",0.685714285714286,-0.19778353968826
"ENSMUSG00000035772",0.2,-0.0736461767008536
"ENSMUSG00000079442",0.885714285714286,0.138684383926569
"ENSMUSG00000026797",0.485714285714286,-0.0992975251015872
"ENSMUSG00000038831",0.485714285714286,0.0650495392115319
"ENSMUSG00000087461",0.885714285714286,0.0654237635724939
"ENSMUSG00000026864",0.485714285714286,-0.0836539203822712
"ENSMUSG00000026946",0.685714285714286,0.0571693277807802
"ENSMUSG00000085315",0.342857142857143,0.252014152225086
"ENSMUSG00000061136",0.685714285714286,-0.0614626434619196
"ENSMUSG00000087040",1,0.729773792336672
"ENSMUSG00000082127",0.485714285714286,-0.275035207823093
"ENSMUSG00000041921",0.885714285714286,0.0186603587510774
"ENSMUSG00000042272",0.885714285714286,-0.134584275117087
"ENSMUSG00000027014",0.485714285714286,0.0651403420326616
"ENSMUSG00000034701",1,0.404624990297978
"ENSMUSG00000027091",0.685714285714286,-0.108597032507753
"ENSMUSG00000050043",0.485714285714286,-0.0938349336498635
"ENSMUSG00000002105",0.2,0.25670283614278
"ENSMUSG00000002100",0.2,1.64311333589977
"ENSMUSG00000058318",0.485714285714286,0.0290563388569308
"ENSMUSG00000027195",0.342857142857143,-0.0659149938107322
"ENSMUSG00000027164",0.342857142857143,-0.19382782193942
"ENSMUSG00000048058",0.342857142857143,-0.140660186658275
"ENSMUSG00000075012",1,0.0954909638229767
"ENSMUSG00000010914",0.885714285714286,-0.011426144176177
"ENSMUSG00000027185",0.2,0.161973853736686
"ENSMUSG00000023236",0.2,0.153488116425377
"ENSMUSG00000034278",1,0.257515675344817
"ENSMUSG00000027284",0.885714285714286,0.0779999917134555
"ENSMUSG00000079103",0.2,0.352754824073036
"ENSMUSG00000027248",0.685714285714286,-0.0952112626765704
"ENSMUSG00000081264",0.885714285714286,0.637185568085078
"ENSMUSG00000068394",0.485714285714286,0.152226515323516
"ENSMUSG00000027208",0.342857142857143,-0.265072017367847
"ENSMUSG00000084628",0.685714285714286,0.285095169536103
"ENSMUSG00000027374",0.2,0.062385422738978
"ENSMUSG00000014355",0.885714285714286,-0.0317818687319762
"ENSMUSG00000027394",0.685714285714286,-0.0492697795834171
"ENSMUSG00000037727",0.685714285714286,0.599453787646168
"ENSMUSG00000074797",0.685714285714286,0.037680615249305
"ENSMUSG00000048911",0.342857142857143,-0.22675214484924
"ENSMUSG00000027350",0.485714285714286,0.0751443697616872
