,Sample_600,Sample_601,Sample_602,Sample_616,Sample_617,Sample_603,Sample_604,Sample_605,Sample_606,Sample_621,Sample_607,Sample_608,Sample_609,Sample_610,Sample_623,Sample_611,Sample_612,Sample_613,Sample_614,Sample_615
ENSMUSG00000072978,13.30938706,10.80810367,26.66228222,13.74565237,49.30861888,87.10356325,0,0,25.88972604,50.84722361,61.73782654,37.91484968,107.0962044,36.44937369,56.59397665,55.65889637,0.48540143,0,33.27177435,43.62492842
ENSMUSG00000055067,20.9147511,39.62971347,0,32.4004663,33.98943631,17.69291129,0,89.25426472,21.18250312,17.30969314,10.12095517,6.172184832,14.41679674,34.56406125,37.72931777,0.248477216,0,5.134965497,22.93491242,42.35876955
ENSMUSG00000096474,115.9818015,52.23916776,81.46808455,92.29223735,38.77668086,204.1489764,362.9257422,384.4799095,82.37640103,61.66578183,68.82249516,62.60358901,74.1435261,46.29489416,39.44428676,114.4237579,88.82846164,133.5091029,125.334451,63.07773292
ENSMUSG00000026492,141.6499052,241.3809821,229.5918746,136.4746914,180.957844,72.13263832,10.08127062,0,168.2832192,133.068266,185.2134796,246.0056526,128.7213995,154.5956194,168.066961,175.3006758,104.3613074,0,116.9357506,137.7811064
ENSMUSG00000038949,39.92816119,111.683738,167.3798828,152.1840084,110.1066247,73.49363149,90.73143554,61.79141403,123.5646015,106.0218705,124.4877486,163.1220277,49.4290174,129.6675995,113.1879533,184.8670487,20.38686005,0,167.0049256,101.5229205
ENSMUSG00000026043,115.031131,95.47158246,154.0487417,6.872826186,83.77677964,59.88369973,25.20317654,89.25426472,316.5607411,68.15691676,168.0078558,122.5619559,330.5565538,127.3633287,241.8106275,58.88910018,0.48540143,174.5888269,64.60538709,67.22152559
ENSMUSG00000099032,129.2911886,41.43106409,57.76827813,123.7108713,8.617040192,13.60993176,90.73143554,6.865712671,35.30417187,1.081855822,29.35077,42.32355313,33.98244946,1.675833273,15.4347209,22.85990387,2.427007149,0,4.845404032,7.251637179
ENSMUSG00000038936,46.58285472,54.04051837,25.18104431,15.709317,15.79790702,16.33191811,5.040635308,0,17.65208593,0,14.16933724,0,11.32748315,16.54885357,53.16403867,5.714975967,2.912408578,5.134965497,0,13.12201013
ENSMUSG00000042772,475.3352522,313.4350066,543.6143096,716.737588,537.6075631,368.8291506,327.641295,151.0456788,481.3135431,547.4190457,474.6727975,514.9365631,813.5192447,401.9905063,329.274046,479.6852654,384.9233338,611.0608941,276.8340837,265.8933632
ENSMUSG00000026042,0,16.21215551,8.887427405,15.709317,9.095764647,27.21986352,5.040635308,0,81.1995953,21.63711643,26.31448345,39.67833106,60.75650055,24.71854078,8.574844947,24.59924438,49.0255444,0,19.38161613,4.258898026
ENSMUSG00000073643,176.8247138,145.9093996,146.6425522,101.1287282,131.1705007,228.6468535,226.8285889,295.2256448,129.4486302,125.4952753,101.2095517,128.7341408,127.6916283,187.6933266,58.30894564,165.734303,143.1934218,893.4839964,177.9878414,136.0545261
ENSMUSG00000026248,107.425767,19.81485674,20.73733061,78.54658498,93.35126875,91.18654278,25.20317654,89.25426472,82.37640103,64.91134929,67.81039965,104.9271421,60.75650055,41.05791519,96.03826341,77.77336859,68.44160159,0,23.58096629,59.50946701
ENSMUSG00000067106,276.6451168,331.4485127,451.7775598,152.1840084,254.6814101,458.6547002,131.056518,377.6141969,323.6215755,274.7913787,221.6489182,313.8996857,209.0435527,203.8232218,353.2836118,146.2288416,183.4817404,30.80979298,554.6372481,278.0945305
ENSMUSG00000026491,616.9851574,335.0512139,505.1021242,646.0456615,464.8414459,390.6050414,231.8692242,102.9856901,384.8154734,395.9592307,478.7211796,610.1645576,412.9382495,365.5411327,303.5495111,379.3004701,296.5802736,297.8279988,267.7893295,495.2983298
ENSMUSG00000025917,307.0665729,547.6105862,245.8854915,286.6950352,238.4047786,182.3730856,95.77207085,157.9113914,316.5607411,209.8800294,309.7012282,324.480574,238.9069174,201.7284302,245.2405655,250.5892723,110.671526,1006.453237,280.7104069,297.202019
ENSMUSG00000104418,25.66810362,52.23916776,31.10599592,18.65481393,22.02132493,19.05390446,0,0,48.24903489,7.572990751,27.32657896,26.45222071,15.44656794,0.209479159,27.43950383,0,48.54014297,0,10.33686193,0
ENSMUSG00000004364,573.2543142,621.4659613,691.7380997,578.2992319,493.5649132,564.8121679,297.3974832,260.8970815,604.8781447,494.4081104,507.0598541,608.4010763,813.5192447,558.261959,502.4859139,746.3013181,197.0729805,56.48462046,804.9831231,530.0601462
ENSMUSG00000026478,463.9272062,275.6066437,340.6847172,336.7684831,309.255998,303.5014782,322.6006597,219.7028055,518.9713265,410.0233564,427.1043082,510.5278596,414.9977919,200.6810344,248.6705035,336.3139118,432.9780753,344.0426883,241.6241477,363.272491
ENSMUSG00000042699,382.1695428,679.1091809,340.6847172,319.0955015,636.2248008,423.2688777,362.9257422,233.4342308,563.6899442,584.2021436,611.3056923,618.1002238,905.1688811,372.6634241,354.9985808,421.6658354,272.3102021,92.42937894,215.135939,616.5042655
ENSMUSG00000099858,717.7562309,1941.85596,955.3984461,579.2810642,611.8098536,1382.769067,660.3232254,1840.010996,824.940816,958.5242579,812.7127002,589.0027811,668.3215061,1201.362978,999.8269208,371.5976764,544.1350027,1530.219718,741.3468168,667.3808311
ENSMUSG00000025986,37.07614967,28.8216098,11.84990321,36.32779555,18.19152929,0,0,0,20.00569739,28.12825136,0,17.6348138,92.67940762,15.29197862,0,23.23261969,1.941605719,0,0,0.115105352
ENSMUSG00000056763,115.031131,104.4783355,115.5365563,109.965219,112.9789714,133.3773312,90.73143554,82.38855205,160.0455791,153.6235267,71.85878172,115.5080304,128.7213995,121.9168706,149.2023021,117.0327687,66.49999588,492.9566877,218.6892353,95.7676529
ENSMUSG00000026475,40.87883169,637.6781168,118.4990321,202.2574563,106.7555535,57.16171338,166.3409652,13.73142534,273.0189291,138.4775452,92.10069206,89.9375504,7.208398371,242.7863454,101.1831704,182.6307537,131.058386,600.7909631,111.7673197,83.10606417
ENSMUSG00000045954,34.22413816,133.2999453,39.99342332,39.27329249,42.12775205,62.60568609,0,0,81.1995953,86.54846572,13.15724172,40.56007175,62.81604294,86.72437187,44.58919372,80.00966353,0.48540143,10.26993099,135.3482859,80.57374643
ENSMUSG00000067851,893.6302742,466.5498086,734.6939988,1058.415233,652.9801568,630.1398404,282.2755773,240.2999435,956.7430576,610.1666833,817.7731778,866.7510985,609.6245479,432.5744636,475.0464101,569.8824947,480.062014,71.88951695,297.8308345,667.0355151
ENSMUSG00000038608,48.48419573,41.43106409,62.21199184,16.69114931,14.36173365,62.60568609,0,6.865712671,51.77945207,41.11052122,62.74992206,20.28003588,137.9893402,43.36218594,32.5844108,28.69911844,0.48540143,0,16.47437371,33.03523604
ENSMUSG00000026107,289.9545039,367.4755249,334.7597656,169.85699,141.2237143,112.9624336,0,6.865712671,161.2223849,154.7053825,163.9594738,183.4020636,210.0733239,133.8571827,128.6226742,345.5075688,74.75182018,595.6559976,252.6070635,53.86930476
ENSMUSG00000087008,41.8295022,23.41755796,66.65570554,26.50947243,29.68091622,126.5723653,0,0,63.54750936,10.81855822,3.036286551,15.87133242,119.4534587,58.44468539,10.28981394,36.02919631,71.35401017,0,35.5329629,4.949530138
ENSMUSG00000026473,884.1235691,4879.858809,2691.409266,1242.017875,1822.025276,1786.98404,1018.208332,3474.050611,2161.792124,1469.160206,1085.97849,1440.764288,1925.672136,2225.087628,2419.821244,951.4192598,1918.30645,6490.596388,1447.806725,1960.934777
ENSMUSG00000048960,36.12547917,61.24592082,14.81237901,68.72826186,21.54260048,111.6014404,0,130.4485407,12.94486302,48.68351197,88.05230999,22.04351726,110.1855179,17.59624937,22.29459686,67.21308691,52.90875584,0,85.92516483,89.32175318
